churn,tenure,warehousetohome,satisfactionscore,numberofaddress,complain,orderamounthikefromlastyear,couponused,ordercount,daysincelastorder,cashbackamount,cashbackperorder,is_unhappy_complainant,preferredlogindevice_Mobile Phone,preferredpaymentmode_Credit Card,preferredpaymentmode_Debit Card,preferredpaymentmode_E-Wallet,preferredpaymentmode_UPI,gender_Male,preferedordercat_Grocery,preferedordercat_Laptop & Accessory,preferedordercat_Mobile Phone,preferedordercat_Others,maritalstatus_Married,maritalstatus_Single
1,-0.4050922560222608,-1.181509526332002,2,9,1,-1.3018492051846484,-0.38594003670065113,-0.6814231238830277,0.1514364844998699,-0.35949524469865546,0.9261629753616476,1,True,False,True,False,False,False,False,True,False,False,False,True
1,0.2841562947220977,-0.9334663219598879,3,7,1,-0.1878723034155825,-0.9243053505323324,-0.6814231238830277,-1.2490027529085863,-1.1619033934591356,0.12859683921545248,0,True,False,False,False,True,True,False,False,True,False,False,True
1,0.2841562947220977,1.795008926133368,3,6,1,-0.46636652885784896,-0.9243053505323324,-0.6814231238830277,-0.4087392104635126,-1.174649820623663,0.11592732846959944,0,True,False,True,False,False,True,False,False,True,False,False,True
1,-2.0054778303559835,-0.06531510665748831,5,8,0,2.0400815001225494,-0.9243053505323324,-0.6814231238830277,-0.4087392104635126,-0.8911446099803882,0.3977217690910707,0,True,False,True,False,False,True,False,True,False,False,False,True
1,-2.0054778303559835,-0.43737991321565955,5,3,0,-1.3018492051846484,-0.38594003670065113,-0.6814231238830277,-0.4087392104635126,-0.9830422380859313,0.3063786835524212,0,True,True,False,False,False,True,False,False,True,False,False,True
1,-2.0054778303559835,0.8028361086449112,5,2,1,1.761587274680283,1.2291559047943927,1.0552958382996096,0.7116121794632524,-0.7858837921055826,-1.5292991383847347,0,False,False,True,False,False,False,False,False,True,False,False,True
1,0.2841562947220977,-0.5614015154017166,2,4,0,-0.46636652885784896,-0.9243053505323324,-0.6814231238830277,-1.2490027529085863,-1.1627257435987823,0.12777945142539762,0,True,False,False,True,False,True,False,True,False,False,False,False
1,0.2841562947220977,-1.181509526332002,2,3,1,0.090621922026684,0.15242527713103016,-0.3340793314465002,-1.2490027529085863,-1.1201691238720546,-0.6672664057014613,1,True,True,False,False,False,True,False,False,True,False,False,False
1,0.6187360318416184,-0.8094447197738308,3,2,1,-0.46636652885784896,-0.9243053505323324,-0.6814231238830277,-0.6888270579452038,-1.03998998525648,0.24977457909111075,0,True,False,False,True,False,True,False,False,True,False,False,False
1,0.2841562947220977,1.9190305283194249,3,2,0,-1.023354979742382,-0.38594003670065113,-0.6814231238830277,-0.9689149054268951,-1.1201691238720546,0.17007926956074526,0,True,False,True,False,False,True,False,False,True,False,False,True
1,-0.4050922560222608,0.3067496999006829,3,2,0,-0.1878723034155825,3.920982473952799,4.181389970228357,0.9917000269449436,2.426627028425102,-1.587278935689129,0,True,False,False,True,False,False,False,False,False,True,False,False
1,0.4654523777389432,-1.181509526332002,3,10,1,-0.7448607543001154,-0.9243053505323324,-0.6814231238830277,-1.2490027529085863,-0.485314816064634,0.801102643483228,0,True,False,True,False,False,True,False,False,False,False,False,True
1,-2.0054778303559835,-0.5614015154017166,3,2,1,-0.7448607543001154,0.15242527713103016,-0.3340793314465002,-0.6888270579452038,-0.8841546337933893,-0.5108728752042657,0,True,False,False,False,False,True,False,False,True,False,False,True
1,-2.0054778303559835,-0.06531510665748831,3,1,1,0.3691161474689505,-0.9243053505323324,-0.6814231238830277,-1.2490027529085863,-0.8950507731437111,0.39383917708830934,0,True,True,False,False,False,True,False,False,True,False,False,False
1,0.2841562947220977,-0.06531510665748831,2,2,0,0.090621922026684,-0.9243053505323324,0.36060825342655467,0.7116121794632524,0.3859651568912755,-0.7383246509169119,0,True,True,False,False,False,True,False,False,False,False,False,True
1,0.2841562947220977,-0.43737991321565955,5,5,1,1.761587274680283,-0.38594003670065113,-0.6814231238830277,-0.6888270579452038,-1.1653983815526354,0.1251229411077183,0,True,False,False,False,True,True,False,False,True,False,True,False
1,-2.0054778303559835,-0.43737991321565955,2,2,1,0.647610372911217,-0.38594003670065113,-0.6814231238830277,-1.2490027529085863,-0.9900322142729301,0.2994308873369534,1,False,False,True,False,False,False,False,False,True,False,False,True
1,-2.0054778303559835,-0.5614015154017166,3,2,1,-1.3018492051846484,-0.38594003670065113,-0.6814231238830277,-0.4087392104635126,-0.4106865408916763,0.8752805854307218,0,True,False,False,True,False,True,False,True,False,False,False,True
